#doc 1							
0	Eyes	B-NC	['Hypernym', 'Hypernym']	[3, 3]	B-NC	O	O
1	are	O	['N']	[1]	O	O	O
2	the	O	['N']	[2]	O	O	O
3	organs	B-NC	['N']	[3]	B-NC	O	O
4	of	O	['N']	[4]	O	O	O
5	vision	B-NC	['N']	[5]	B-NC	O	O
6	.	O	['N']	[6]	O	O	O
7	They	O	['N']	[7]	O	O	O
8	detect	O	['N']	[8]	O	O	O
9	light	B-NC	['N']	[9]	B-NC	O	O
10	and	O	['N']	[10]	O	O	O
11	convert	O	['N']	[11]	O	O	O
12	it	O	['N']	[12]	O	O	O
13	into	O	['N']	[13]	O	O	O
14	electro	B-NC	['N']	[14]	B-NC	O	O
15	-	O	['N']	[15]	O	O	O
16	chemical	O	['N']	[16]	O	O	O
17	impulses	B-NC	['Holonym']	[87]	B-NC	O	O
18	in	O	['N']	[18]	O	O	O
19	neurons	B-NC	['Holonym']	[0]	B-NC	O	O
20	.	O	['N']	[20]	O	O	O
21	The	O	['N']	[21]	O	O	O
22	simplest	O	['N']	[22]	O	O	O
23	photoreceptor	B-NC|B-NC	['Holonym']	[0]	B-NC	B-NC	O
24	cells	I-NC|B-NC	['N']	[24]	I-NC	B-NC	O
25	in	O	['N']	[25]	O	O	O
26	conscious	O	['N']	[26]	O	O	O
27	vision	B-NC	['N']	[27]	B-NC	O	O
28	connect	O	['N']	[28]	O	O	O
29	light	B-NC	['N']	[29]	B-NC	O	O
30	to	O	['N']	[30]	O	O	O
31	movement	B-NC	['N']	[31]	B-NC	O	O
32	.	O	['N']	[32]	O	O	O
33	In	O	['N']	[33]	O	O	O
34	higher	O	['N']	[34]	O	O	O
35	organisms	B-NC	['Holonym']	[128]	B-NC	O	O
36	the	O	['N']	[36]	O	O	O
37	eye	B-NC	['Holonym', 'Hypernym']	[35, 41]	B-NC	O	O
38	is	O	['N']	[38]	O	O	O
39	a	O	['N']	[39]	O	O	O
40	complex	O	['N']	[40]	O	O	O
41	optical	B-NC	['Holonym']	[87]	B-NC	O	O
42	system	I-NC|B-NC	['N']	[42]	I-NC	B-NC	O
43	which	O	['N']	[43]	O	O	O
44	collects	O	['N']	[44]	O	O	O
45	light	B-NC	['N']	[45]	B-NC	O	O
46	from	O	['N']	[46]	O	O	O
47	the	O	['N']	[47]	O	O	O
48	surrounding	O	['N']	[48]	O	O	O
49	environment	B-NC	['N']	[49]	B-NC	O	O
50	,	O	['N']	[50]	O	O	O
51	regulates	O	['N']	[51]	O	O	O
52	its	O	['N']	[52]	O	O	O
53	intensity	B-NC	['N']	[53]	B-NC	O	O
54	through	O	['N']	[54]	O	O	O
55	a	O	['N']	[55]	O	O	O
56	diaphragm	B-NC	['Holonym']	[37]	B-NC	O	O
57	,	O	['N']	[57]	O	O	O
58	focuses	O	['N']	[58]	O	O	O
59	it	O	['N']	[59]	O	O	O
60	through	O	['N']	[60]	O	O	O
61	an	O	['N']	[61]	O	O	O
62	adjustable	O	['N']	[62]	O	O	O
63	assembly	B-NC	['N']	[63]	B-NC	O	O
64	of	O	['N']	[64]	O	O	O
65	lenses	B-NC	['Holonym']	[37]	B-NC	O	O
66	to	O	['N']	[66]	O	O	O
67	form	O	['N']	[67]	O	O	O
68	an	O	['N']	[68]	O	O	O
69	image	B-NC	['N']	[69]	B-NC	O	O
70	,	O	['N']	[70]	O	O	O
71	converts	O	['N']	[71]	O	O	O
72	this	O	['N']	[72]	O	O	O
73	image	B-NC	['N']	[73]	B-NC	O	O
74	into	O	['N']	[74]	O	O	O
75	a	O	['N']	[75]	O	O	O
